Customer_ID,Loan_ID,Loan_Amount,EMI_Amount,EMI_Number,Due_Date,Payment_Date,DPD,Bucket,Payment_Status,Agent_ID,Agent_Name,Region,State,Product_Type,Risk_Segment
C001,L001,50000,2500,1,2024-01-05,2024-01-04,0,Current,Paid,A01,John Doe,North,Delhi,Personal Loan,Low
C002,L002,75000,3500,2,2024-01-10,2024-01-12,2,0-30 DPD,Paid,A02,Jane Smith,South,Karnataka,Home Loan,Medium
C003,L003,25000,1200,5,2024-01-15,,15,0-30 DPD,Pending,A01,John Doe,North,UP,Vehicle Loan,High
C004,L004,100000,5000,1,2024-01-20,2024-01-20,0,Current,Paid,A03,Bob Wilson,East,WB,Home Loan,Low
C005,L005,40000,2000,3,2024-01-25,,35,31-60 DPD,Pending,A02,Jane Smith,South,Tamil Nadu,Personal Loan,Medium
C006,L006,60000,3000,1,2024-02-05,2024-02-04,0,Current,Paid,A04,Alice Brown,West,Maharashtra,Vehicle Loan,Low
C007,L007,90000,4500,2,2024-02-10,,65,61-90 DPD,Pending,A01,John Doe,North,Haryana,Home Loan,High
C008,L008,30000,1500,4,2024-02-15,2024-02-15,0,Current,Paid,A03,Bob Wilson,East,Bihar,Personal Loan,Medium
C009,L009,55000,2750,1,2024-02-20,2024-02-22,2,0-30 DPD,Paid,A02,Jane Smith,South,Kerala,Vehicle Loan,Low
C010,L010,120000,6000,6,2024-02-25,,95,90+ DPD,Pending,A04,Alice Brown,West,Gujarat,Home Loan,High
